CVE ID,Asset Name,Hostname,Package,Installed Version,Severity
CVE-2021-44228,checkout-api,checkout-01.prod.northwind.example,org.apache.logging.log4j:log4j-core,2.14.1,Critical
CVE-2021-45046,checkout-api,checkout-01.prod.northwind.example,org.apache.logging.log4j:log4j-core,2.14.1,Critical
CVE-2022-22965,checkout-api,checkout-02.prod.northwind.example,spring-beans,5.3.17,Critical
CVE-2022-1471,checkout-api,checkout-02.prod.northwind.example,org.yaml:snakeyaml,1.30,High
CVE-2023-44487,checkout-api,checkout-01.prod.northwind.example,nghttp2,1.43.0,High
CVE-2022-0778,checkout-api,checkout-03.prod.northwind.example,openssl,1.1.1k,High
CVE-2023-38545,checkout-api,checkout-03.prod.northwind.example,curl,8.2.1,High
CVE-2016-2107,checkout-api,checkout-03.prod.northwind.example,openssl,1.1.1k,Medium
CVE-2023-4863,customer-portal,www.northwind.example,libwebp,1.2.4,Critical
CVE-2018-11776,customer-portal,portal-02.prod.northwind.example,struts2-core,2.5.16,Critical
CVE-2023-34362,customer-portal,portal-01.prod.northwind.example,moveit-transfer,2023.0.0,Critical
CVE-2021-23017,customer-portal,www.northwind.example,nginx,1.20.0,High
CVE-2023-24329,customer-portal,portal-02.prod.northwind.example,python,3.10.6,Medium
CVE-2022-42889,customer-portal,portal-01.prod.northwind.example,commons-text,1.9,Critical
CVE-2020-1938,warehouse-wms,wms-01.dc1.internal,tomcat,9.0.30,Critical
CVE-2023-46604,warehouse-wms,wms-02.dc1.internal,activemq,5.17.3,Critical
CVE-2019-0708,warehouse-wms,wms-03.dc1.internal,windows-rdp,2012R2,Critical
CVE-2021-34527,warehouse-wms,wms-03.dc1.internal,windows-spooler,2012R2,High
CVE-2024-21626,warehouse-wms,wms-01.dc1.internal,runc,1.1.4,High
CVE-2017-5638,internal-wiki,wiki-01.corp.internal,struts2-core,2.3.31,Critical
CVE-2021-44228,internal-wiki,wiki-01.corp.internal,org.apache.logging.log4j:log4j-core,2.13.3,Critical
CVE-2014-0160,internal-wiki,wiki-02.corp.internal,openssl,1.0.1f,High
CVE-2023-0286,internal-wiki,wiki-02.corp.internal,openssl,3.0.7,High
CVE-2022-24765,internal-wiki,wiki-01.corp.internal,git,2.30.2,Medium
CVE-2024-3094,ml-sandbox,ml-gpu-01.lab.internal,xz-utils,5.6.0,Critical
CVE-2021-44228,ml-sandbox,ml-gpu-01.lab.internal,org.apache.logging.log4j:log4j-core,2.11.0,Critical
CVE-2017-0144,ml-sandbox,ml-gpu-02.lab.internal,windows-smb,2016,Critical
CVE-2022-3602,ml-sandbox,ml-gpu-02.lab.internal,openssl,3.0.5,High
